playlist_uri,artist,name,decade
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Julie London,I'm In The Mood For Love,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Julie London,I'm Glad There Is You,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Doris Day,Again (with The Mellomen),1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Doris Day,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Ella Fitzgerald,Someone To Watch Over Me,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Chet Baker,I Fall In Love Too Easily,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Billie Holiday,I'll Be Seeing You,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Tommy Dorsey,I'll Never Smile Again,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Etta Jones,If I Had You,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Julie London,Nice Girls Don't Stay For Breakfast,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Julie London,Spring Will Be A Little Late This Year,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Doris Day,I'm Confessin' (That I Love You),1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Etta Jones,Till There Was You,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Julie London,Bidin' My Time,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Johnny Mathis,Misty,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,The Pied Pipers,Dream - Edit,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Jo Stafford,Through The Years,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Jo Stafford,Some Enchanted Evening - Remastered,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Jo Stafford,Haunted Heart - Remastered,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Jo Stafford,No Other Love,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Ilene Woods,"So This Is Love - From ""Cinderella""",1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Nat King Cole,Unforgettable,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Julie London,Show Me The Way To Go Home,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Dinah Shore,Laughing on the Outside (Crying on the Inside),1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Billie Holiday,Easy Living (with Teddy Wilson & His Orchestra),1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Julie London,Me And My Shadow,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Nancy Wilson,The Masquerade Is Over,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Billie Holiday,Tenderly,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,The Ink Spots,I Don't Want To Set The World On Fire,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Billie Holiday,I'll Look Around,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Julie London,The End Of The World,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Sarah Vaughan,Black Coffee,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Nat King Cole,Smile,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Doris Day,I Believe In Dreams,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Bobby Vinton,Let's Kiss and Make Up,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Dion & The Belmonts,A Teenager In Love,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Bill Evans,Skating In Central Park,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,The Chordettes,Hello! Ma Baby,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Bobby Darin,Beyond the Sea,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Glenn Miller,In the Mood,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Dean Martin,I Can't Believe That You're In Love With Me - Remastered/1998,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Billie Holiday,All of Me,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Chet Baker,It's Always You - Vocal Version,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Etta James,A Sunday Kind Of Love,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Kitty Kallen,"It's Been a Long, Long Time (with Harry James & His Orchestra)",1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,The Chords,Sh-Boom,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Gene Austin,Everything's Made For Love,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Ella Fitzgerald,It's Only A Paper Moon,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Billie Holiday,Crazy He Calls Me,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Ella Fitzgerald,In A Mellow Tone,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Ellen Andersson,I'll Be Seeing You,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Dinah Washington,A Handful of Stars - 2002 Remaster,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Abbey Lincoln,Do Nothing 'Til You Hear From Me,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Anita O'Day,Whisper Not,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Nancy Wilson,(You Don't Know) How Glad I Am,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Thelonious Monk,"Ruby, My Dear",1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Ella Fitzgerald,Isn't This A Lovely Day?,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Blossom Dearie,'Deed I Do,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Frank Sinatra,Makin' Whoopee - Remastered 1998,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Billie Holiday,Just One Of Those Things - Take 8 - Master Take,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Dinah Washington,September In The Rain,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Ella Fitzgerald,I've Got A Crush On You,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Carmen McRae,Just a Little Lovin',1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Jo Stafford,You Belong To Me,1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Les Paul,"It's Been A Long, Long Time",1920s
https://open.spotify.com/playlist/7HWmbcjkVTfQdLKk2NWmtZ?si=6b870f33efe24872,Billie Holiday,You Go To My Head,1920s
